Seed, Score, T1, T2, T3, T4, T5, T6, T7, T8
8BV717GR, 11, 1, 0, 0, 0, 0, 1, 0, 0
GSP9GAGR, 10, 0, 0, 0, 0, 0, 1, 0, 0
UEY1OEGR, 11, 1, 0, 0, 0, 0, 1, 0, 0
7R11SGGR, 18, 0, 0, 0, 0, 0, 1, 1, 0
E5HQKIGR, 10, 0, 0, 0, 0, 0, 1, 0, 0
IBS82JGR, 10, 0, 0, 0, 0, 0, 1, 0, 0
U2F29JGR, 10, 0, 0, 0, 0, 0, 1, 0, 0
B66N4NGR, 10, 0, 0, 0, 0, 0, 1, 0, 0
YQ5ISNGR, 10, 0, 0, 0, 0, 0, 1, 0, 0
VS819TGR, 10, 0, 0, 0, 0, 0, 1, 0, 0
O28H7TGR, 36, 0, 0, 1, 1, 0, 1, 1, 0
CC6P3VGR, 10, 0, 0, 0, 0, 0, 1, 0, 0
284EXWGR, 10, 0, 0, 1, 0, 0, 0, 0, 0
YW7LZ1HR, 10, 0, 0, 0, 0, 0, 1, 0, 0
GSULZ3HR, 15, 0, 0, 0, 0, 0, 0, 1, 1
Q5XF44HR, 10, 0, 0, 0, 0, 0, 1, 0, 0
RNLUB4HR, 11, 1, 0, 1, 0, 0, 0, 0, 0
HRQ996HR, 10, 0, 0, 0, 0, 0, 1, 0, 0
17S678HR, 10, 0, 0, 0, 0, 0, 1, 0, 0
RUCM29HR, 20, 0, 0, 0, 0, 0, 2, 0, 0
Q2NS59HR, 10, 0, 0, 0, 0, 0, 1, 0, 0
AZW2REHR, 11, 1, 0, 0, 0, 0, 1, 0, 0
9ZFASFHR, 10, 0, 0, 0, 0, 0, 1, 0, 0
XEQGKGHR, 10, 0, 0, 0, 0, 0, 1, 0, 0
OEO32HHR, 10, 0, 0, 0, 0, 0, 1, 0, 0
UA2URKHR, 10, 0, 0, 0, 0, 0, 1, 0, 0
BULV9LHR, 10, 0, 0, 0, 0, 0, 1, 0, 0
FA5VKNHR, 10, 0, 0, 0, 0, 0, 1, 0, 0
IGPIJOHR, 10, 0, 0, 0, 0, 0, 1, 0, 0
ND143PHR, 10, 0, 0, 0, 0, 0, 1, 0, 0
K1L2KPHR, 10, 0, 0, 0, 0, 0, 1, 0, 0
1WEZ3WHR, 10, 0, 0, 0, 0, 0, 1, 0, 0
AV8MEWHR, 15, 0, 0, 0, 0, 1, 0, 1, 0
ACZWQYHR, 10, 0, 0, 0, 0, 0, 1, 0, 0
67LU1ZHR, 10, 0, 0, 0, 0, 0, 1, 0, 0
T4ATS2IR, 10, 0, 0, 0, 0, 0, 1, 0, 0
BNYZX2IR, 10, 0, 0, 0, 0, 0, 1, 0, 0
5KMC15IR, 10, 0, 0, 0, 0, 0, 1, 0, 0
L5ZNX5IR, 20, 0, 0, 0, 0, 0, 2, 0, 0
XHXA88IR, 10, 0, 0, 0, 0, 0, 1, 0, 0
J5TIQ8IR, 10, 0, 0, 0, 0, 0, 1, 0, 0
4KJW1CIR, 10, 0, 0, 0, 0, 0, 1, 0, 0
KNMDOCIR, 10, 0, 0, 0, 0, 0, 1, 0, 0
D177KDIR, 10, 0, 0, 1, 0, 0, 0, 0, 0
PZLD5FIR, 10, 0, 0, 0, 0, 0, 1, 0, 0
EHIB4GIR, 16, 1, 0, 0, 0, 0, 0, 1, 1
79L9KGIR, 10, 0, 0, 0, 0, 0, 1, 0, 0
EY83GHIR, 10, 0, 0, 0, 0, 0, 1, 0, 0
USCFKJIR, 10, 0, 0, 0, 0, 0, 1, 0, 0
9YTU5PIR, 17, 0, 0, 0, 0, 0, 1, 0, 1
LHW2EQIR, 10, 0, 0, 0, 0, 0, 1, 0, 0
JSJZEQIR, 10, 0, 0, 0, 0, 0, 1, 0, 0
QQIHVTIR, 20, 0, 0, 1, 0, 0, 1, 0, 0
CRBD4ZIR, 10, 0, 0, 0, 0, 0, 1, 0, 0
O8EX32JR, 11, 1, 0, 0, 0, 0, 1, 0, 0
8IEEV2JR, 17, 0, 0, 0, 0, 0, 1, 0, 1
CZFLO3JR, 10, 0, 0, 0, 0, 0, 1, 0, 0
834AO4JR, 10, 0, 0, 0, 0, 0, 1, 0, 0
FVDUJ8JR, 10, 0, 0, 0, 0, 0, 1, 0, 0
J9AY39JR, 10, 0, 0, 0, 0, 0, 1, 0, 0
DXLT1AJR, 10, 0, 0, 1, 0, 0, 0, 0, 0
GC451BJR, 10, 0, 0, 0, 0, 0, 1, 0, 0
GOXJ2BJR, 11, 1, 0, 0, 0, 0, 1, 0, 0
9M94LEJR, 20, 0, 0, 0, 0, 0, 2, 0, 0
VBGXOFJR, 17, 0, 0, 1, 0, 0, 0, 0, 1
DJTFCIJR, 10, 0, 0, 0, 0, 0, 1, 0, 0
4XUD3JJR, 10, 0, 0, 0, 0, 0, 1, 0, 0
UO32CKJR, 10, 0, 0, 0, 0, 0, 1, 0, 0
KRGHKMJR, 10, 0, 0, 0, 0, 0, 1, 0, 0
JUV9LNJR, 11, 1, 0, 0, 0, 0, 1, 0, 0
V6MVJPJR, 18, 0, 0, 0, 0, 0, 1, 1, 0
Z8TR4QJR, 10, 0, 0, 0, 0, 0, 1, 0, 0
P7HVLRJR, 11, 1, 0, 1, 0, 0, 0, 0, 0
SR5DRTJR, 11, 1, 0, 0, 0, 0, 1, 0, 0
S4FKKUJR, 10, 0, 0, 0, 0, 0, 1, 0, 0
1BHD6YJR, 10, 0, 0, 0, 0, 0, 1, 0, 0
EF2A8ZJR, 10, 0, 0, 0, 0, 0, 1, 0, 0
NIZWL1KR, 10, 0, 0, 0, 0, 0, 1, 0, 0
HWKSX1KR, 17, 0, 0, 0, 0, 0, 1, 0, 1
2WYBV3KR, 16, 0, 0, 0, 0, 0, 0, 2, 0
KII1E5KR, 10, 0, 0, 1, 0, 0, 0, 0, 0
8P3QT7KR, 10, 0, 0, 0, 0, 0, 1, 0, 0
7F5RFAKR, 11, 1, 0, 1, 0, 0, 0, 0, 0
DHBYCBKR, 10, 0, 0, 1, 0, 0, 0, 0, 0
9N8L2DKR, 10, 0, 0, 0, 0, 0, 1, 0, 0
ZGZOJGKR, 18, 0, 0, 0, 0, 0, 1, 1, 0
YBA2CIKR, 18, 1, 0, 0, 0, 0, 1, 0, 1
BCF4AKKR, 10, 0, 0, 0, 0, 0, 1, 0, 0
ZFOQBMKR, 17, 0, 0, 0, 0, 0, 1, 0, 1
7E14APKR, 10, 0, 0, 0, 0, 0, 1, 0, 0
9DIT5PKR, 10, 0, 0, 0, 0, 0, 1, 0, 0
PFGEEPKR, 10, 0, 0, 0, 0, 0, 1, 0, 0
3R1QEQKR, 10, 0, 0, 0, 0, 0, 1, 0, 0
V3Q7LSKR, 11, 1, 0, 0, 0, 0, 1, 0, 0
WYNTCWKR, 10, 0, 0, 0, 0, 0, 1, 0, 0
1KRXRYKR, 11, 1, 0, 0, 0, 0, 1, 0, 0
SK15S2LR, 10, 0, 0, 0, 0, 0, 1, 0, 0
15FPE3LR, 10, 0, 0, 0, 0, 0, 1, 0, 0
5NPYW3LR, 11, 1, 0, 0, 0, 0, 1, 0, 0
R5G888LR, 10, 0, 0, 1, 0, 0, 0, 0, 0
4FNZYALR, 10, 0, 0, 1, 0, 0, 0, 0, 0
9KUN7GLR, 10, 0, 0, 0, 0, 0, 1, 0, 0
3F65KHLR, 10, 0, 0, 0, 0, 0, 1, 0, 0
7OV6URLR, 20, 0, 0, 0, 0, 0, 2, 0, 0
5LNUASLR, 10, 0, 0, 0, 0, 0, 1, 0, 0
O9785XLR, 10, 0, 0, 0, 0, 0, 1, 0, 0
1MS9HXLR, 10, 0, 0, 0, 0, 0, 1, 0, 0
1OK6GYLR, 18, 0, 0, 0, 0, 0, 1, 1, 0
E4L5GZLR, 11, 1, 0, 0, 0, 0, 1, 0, 0
OEIM21MR, 18, 0, 0, 0, 0, 0, 1, 1, 0
GHJW22MR, 10, 0, 0, 0, 0, 0, 1, 0, 0
BWFIZ5MR, 10, 0, 0, 0, 0, 0, 1, 0, 0
6SHV18MR, 10, 0, 0, 0, 0, 0, 1, 0, 0
O9T3J9MR, 20, 0, 0, 0, 0, 0, 2, 0, 0
8XWJMAMR, 18, 0, 0, 0, 0, 0, 1, 1, 0
62CKIDMR, 18, 0, 0, 0, 0, 0, 1, 1, 0
MTMSWDMR, 11, 1, 0, 0, 0, 0, 1, 0, 0
52LFDFMR, 18, 0, 0, 0, 0, 0, 1, 1, 0
DWFGPHMR, 10, 0, 0, 1, 0, 0, 0, 0, 0
XBPETHMR, 10, 0, 0, 0, 0, 0, 1, 0, 0
9X8SFPMR, 10, 0, 0, 0, 0, 0, 1, 0, 0
X2QKFQMR, 18, 0, 0, 0, 0, 0, 1, 1, 0
ECBV1VMR, 25, 0, 0, 0, 1, 0, 1, 0, 1
HSETDVMR, 10, 0, 0, 0, 0, 0, 1, 0, 0
PPU6IWMR, 10, 0, 0, 0, 0, 0, 1, 0, 0
XI6D7YMR, 10, 0, 0, 0, 0, 0, 1, 0, 0
CXMKLZMR, 10, 0, 0, 1, 0, 0, 0, 0, 0
W2NRM5NR, 20, 0, 0, 0, 0, 0, 2, 0, 0
FHG2A7NR, 10, 0, 0, 0, 0, 0, 1, 0, 0
5Y4T88NR, 10, 0, 0, 0, 0, 0, 1, 0, 0
R7DTB8NR, 11, 1, 0, 1, 0, 0, 0, 0, 0
WAK5FBNR, 18, 0, 0, 0, 0, 0, 1, 1, 0
HZO7JCNR, 10, 0, 0, 0, 0, 0, 1, 0, 0
HRNNOCNR, 10, 0, 0, 0, 0, 0, 1, 0, 0
C14MTCNR, 10, 0, 0, 0, 0, 0, 1, 0, 0
6JZWXGNR, 10, 0, 0, 0, 0, 0, 1, 0, 0
5QMGAHNR, 20, 0, 0, 0, 0, 0, 2, 0, 0
61Z5KHNR, 18, 0, 0, 0, 0, 0, 1, 1, 0
LBTHFINR, 18, 0, 0, 0, 0, 0, 1, 1, 0
FOM4ILNR, 10, 0, 0, 0, 0, 0, 1, 0, 0
48U2WMNR, 17, 0, 0, 0, 0, 0, 1, 0, 1
3FUA9NNR, 19, 1, 0, 0, 0, 0, 1, 1, 0
96M3FNNR, 10, 0, 0, 1, 0, 0, 0, 0, 0
2LYMDQNR, 10, 0, 0, 0, 0, 0, 1, 0, 0
EKHY4RNR, 10, 0, 0, 0, 0, 0, 1, 0, 0
J57GCSNR, 16, 1, 0, 0, 0, 0, 0, 1, 1
KY2BNTNR, 10, 0, 0, 0, 0, 0, 1, 0, 0
XGD6OXNR, 11, 1, 0, 0, 0, 0, 1, 0, 0
FRIXDYNR, 11, 1, 0, 0, 0, 0, 1, 0, 0
R1ANR1OR, 10, 0, 0, 0, 0, 0, 1, 0, 0
7DWRV1OR, 10, 0, 0, 0, 0, 0, 1, 0, 0
MBVR72OR, 18, 0, 0, 0, 0, 0, 1, 1, 0
FXZJQ3OR, 10, 0, 0, 0, 0, 0, 1, 0, 0
7DZIF4OR, 10, 0, 0, 0, 0, 0, 1, 0, 0
EY3617OR, 10, 0, 0, 1, 0, 0, 0, 0, 0
F1RRI7OR, 20, 0, 0, 0, 0, 0, 2, 0, 0
SKDOFDOR, 18, 0, 0, 0, 0, 0, 1, 1, 0
3JRQWFOR, 10, 0, 0, 0, 0, 0, 1, 0, 0
XA6H5IOR, 17, 0, 0, 0, 0, 0, 1, 0, 1
FXUXRIOR, 10, 0, 0, 0, 0, 0, 1, 0, 0
Q9MDTOOR, 21, 1, 0, 0, 0, 0, 2, 0, 0
NW16QPOR, 10, 0, 0, 0, 0, 0, 1, 0, 0
I33H6QOR, 18, 0, 0, 0, 1, 0, 1, 0, 0
DUUVEROR, 10, 0, 0, 1, 0, 0, 0, 0, 0
PLGCJUOR, 11, 1, 0, 0, 0, 0, 1, 0, 0
74KPTVOR, 10, 0, 0, 1, 0, 0, 0, 0, 0
K7XPNXOR, 10, 0, 0, 0, 0, 0, 1, 0, 0
JZGIT7PR, 20, 0, 0, 0, 0, 0, 2, 0, 0
RZ6I4BPR, 10, 0, 0, 0, 0, 0, 1, 0, 0
OY26EDPR, 10, 0, 0, 0, 0, 0, 1, 0, 0
Q8H85EPR, 18, 0, 0, 0, 0, 0, 1, 1, 0
V77C7GPR, 20, 0, 0, 0, 0, 0, 2, 0, 0
D2175IPR, 11, 1, 0, 0, 0, 0, 1, 0, 0
65QXUJPR, 18, 0, 0, 0, 0, 0, 1, 1, 0
VR4F2LPR, 10, 0, 0, 0, 0, 0, 1, 0, 0
7GF12OPR, 26, 0, 0, 0, 1, 0, 1, 1, 0
9DP7FOPR, 10, 0, 0, 0, 0, 0, 1, 0, 0
8AJENPPR, 10, 0, 0, 0, 0, 0, 1, 0, 0
X54J7RPR, 19, 1, 0, 0, 0, 0, 1, 1, 0
L5PSESPR, 10, 0, 0, 0, 0, 0, 1, 0, 0
HNDLITPR, 18, 0, 0, 0, 0, 0, 1, 1, 0
YS3N8YPR, 10, 0, 0, 0, 0, 0, 1, 0, 0
J3LI62QR, 10, 0, 0, 0, 0, 0, 1, 0, 0
326AF2QR, 18, 0, 0, 1, 0, 0, 0, 1, 0
AF2QG3QR, 18, 0, 0, 1, 0, 0, 0, 1, 0
ZNVBM3QR, 10, 0, 0, 0, 0, 0, 1, 0, 0
N1JA84QR, 30, 0, 0, 0, 0, 0, 3, 0, 0
8X3KR9QR, 20, 0, 0, 1, 0, 0, 1, 0, 0
T795BCQR, 10, 0, 0, 0, 0, 0, 1, 0, 0
5HG1GCQR, 10, 0, 0, 0, 0, 0, 1, 0, 0
AQX2PIQR, 10, 0, 0, 0, 0, 0, 1, 0, 0
L327ELQR, 10, 0, 0, 0, 0, 0, 1, 0, 0
HMFNCNQR, 10, 0, 0, 0, 0, 0, 1, 0, 0
UQDYBOQR, 21, 1, 0, 0, 0, 0, 2, 0, 0
9VDXOQQR, 17, 0, 0, 0, 0, 0, 1, 0, 1
S5UAZSQR, 18, 0, 0, 0, 1, 0, 1, 0, 0
SYMVMTQR, 10, 0, 0, 0, 0, 0, 1, 0, 0
YS1ZVTQR, 20, 0, 0, 0, 0, 0, 2, 0, 0
OL82OUQR, 20, 0, 0, 1, 0, 0, 1, 0, 0
VP5ZJUQR, 10, 0, 0, 0, 0, 0, 1, 0, 0
RVNV2WQR, 10, 0, 0, 0, 0, 0, 1, 0, 0
MIXJUWQR, 18, 0, 0, 0, 0, 0, 1, 1, 0
R665S1RR, 10, 0, 0, 0, 0, 0, 1, 0, 0
UUWN84RR, 11, 1, 0, 0, 0, 0, 1, 0, 0
W1EEL4RR, 10, 0, 0, 0, 0, 0, 1, 0, 0
EXBCI5RR, 10, 0, 0, 0, 0, 0, 1, 0, 0
Z14UX5RR, 10, 0, 0, 0, 0, 0, 1, 0, 0
NORVYBRR, 10, 0, 0, 0, 0, 0, 1, 0, 0
PXXYZBRR, 10, 0, 0, 1, 0, 0, 0, 0, 0
QF397CRR, 10, 0, 0, 0, 0, 0, 1, 0, 0
IP358CRR, 10, 0, 0, 0, 0, 0, 1, 0, 0
S1466HRR, 10, 0, 0, 0, 0, 0, 1, 0, 0
CIJ4KIRR, 10, 0, 0, 0, 0, 0, 1, 0, 0
ZJEP8JRR, 10, 0, 0, 0, 0, 0, 1, 0, 0
9MVNTKRR, 10, 0, 0, 0, 0, 0, 1, 0, 0
RJ9W7LRR, 10, 0, 0, 0, 0, 0, 1, 0, 0
TEXP1PRR, 21, 1, 0, 0, 0, 0, 2, 0, 0
348FEQRR, 11, 1, 0, 0, 0, 0, 1, 0, 0
FI7ZGQRR, 10, 0, 0, 0, 0, 0, 1, 0, 0
51YBBVRR, 20, 0, 0, 0, 0, 0, 2, 0, 0
H1L1NVRR, 11, 1, 0, 0, 0, 0, 1, 0, 0
298VRVRR, 10, 0, 0, 0, 0, 0, 1, 0, 0
YS8TE1SR, 18, 0, 0, 0, 0, 0, 1, 1, 0
RIY9L2SR, 10, 0, 0, 0, 0, 0, 1, 0, 0
C6X2A3SR, 18, 0, 0, 0, 1, 0, 1, 0, 0
2ZYUJBSR, 25, 0, 0, 0, 0, 0, 1, 1, 1
GIXXSJSR, 18, 0, 0, 0, 0, 0, 1, 1, 0
MHR45LSR, 10, 0, 0, 0, 0, 0, 1, 0, 0
UCAW2PSR, 10, 0, 0, 1, 0, 0, 0, 0, 0
32ZBCPSR, 10, 0, 0, 0, 0, 0, 1, 0, 0
ZXP1TPSR, 10, 0, 0, 0, 0, 0, 1, 0, 0
BM9PXSSR, 10, 0, 0, 0, 0, 0, 1, 0, 0
2TMCWUSR, 25, 0, 0, 0, 0, 0, 1, 1, 1
76NK91TR, 18, 0, 0, 0, 0, 0, 1, 1, 0
7ZYK62TR, 11, 1, 0, 0, 0, 0, 1, 0, 0
8XGJ14TR, 10, 0, 0, 0, 0, 0, 1, 0, 0
VZKGO6TR, 16, 1, 1, 0, 0, 0, 0, 0, 2
3WGV97TR, 18, 0, 0, 0, 0, 0, 1, 1, 0
T6DAP9TR, 10, 0, 0, 0, 0, 0, 1, 0, 0
OYHAKDTR, 11, 1, 0, 0, 0, 0, 1, 0, 0
A9SQ7FTR, 10, 0, 0, 0, 0, 0, 1, 0, 0
ZMZOMMTR, 15, 0, 0, 0, 1, 0, 0, 0, 1
L2GQIOTR, 10, 0, 0, 0, 0, 0, 1, 0, 0
JKZHROTR, 10, 0, 0, 0, 0, 0, 1, 0, 0
RK8RROTR, 17, 0, 0, 0, 0, 0, 1, 0, 1
OU9PMPTR, 20, 0, 0, 1, 0, 0, 1, 0, 0
Y27NIQTR, 10, 0, 0, 0, 0, 0, 1, 0, 0
3262ZRTR, 15, 0, 0, 0, 0, 0, 0, 1, 1
UDF24TTR, 11, 1, 0, 0, 0, 0, 1, 0, 0
91X3PTTR, 10, 0, 0, 0, 0, 0, 1, 0, 0
OWNJ9YTR, 10, 0, 0, 0, 0, 0, 1, 0, 0
64ZU12UR, 10, 0, 0, 0, 0, 0, 1, 0, 0
XDJT23UR, 20, 0, 0, 0, 0, 0, 2, 0, 0
3IT3D9UR, 10, 0, 0, 0, 0, 0, 1, 0, 0
V7JNY9UR, 20, 0, 0, 0, 0, 0, 2, 0, 0
M1MKMAUR, 11, 1, 0, 0, 0, 0, 1, 0, 0
SXICWGUR, 16, 0, 0, 0, 0, 0, 0, 2, 0
TKW7HIUR, 10, 0, 0, 0, 0, 0, 1, 0, 0
ZY9MDIUR, 18, 0, 0, 0, 1, 0, 1, 0, 0
Z5Y9BJUR, 19, 1, 0, 0, 0, 0, 1, 1, 0
H6N9HJUR, 11, 1, 0, 1, 0, 0, 0, 0, 0
BX5LZSUR, 10, 0, 0, 0, 0, 0, 1, 0, 0
YH7DLTUR, 18, 0, 0, 0, 0, 0, 1, 1, 0
IM2BTTUR, 10, 0, 0, 0, 0, 0, 1, 0, 0
MD8ZVUUR, 10, 0, 0, 0, 0, 0, 1, 0, 0
74EWZUUR, 10, 0, 0, 0, 0, 0, 1, 0, 0
CKY6VVUR, 10, 0, 0, 0, 0, 0, 1, 0, 0
QTVJV1VR, 10, 0, 0, 0, 0, 0, 1, 0, 0
JBO3Y7VR, 10, 0, 0, 0, 0, 0, 1, 0, 0
BF31FCVR, 10, 0, 0, 0, 0, 0, 1, 0, 0
POWKBHVR, 18, 0, 0, 1, 0, 0, 0, 1, 0
V5RF8IVR, 17, 0, 0, 0, 0, 0, 1, 0, 1
NFQO5KVR, 10, 0, 0, 0, 0, 0, 1, 0, 0
ZUQBHLVR, 10, 0, 0, 0, 0, 0, 1, 0, 0
7XKQJMVR, 10, 0, 0, 0, 0, 0, 1, 0, 0
CFNG45WR, 17, 0, 0, 0, 0, 0, 1, 0, 1
IL5KH5WR, 10, 0, 0, 0, 0, 0, 1, 0, 0
H7KW3AWR, 10, 0, 0, 0, 0, 0, 1, 0, 0
969ZQBWR, 10, 0, 0, 0, 0, 0, 1, 0, 0
KXK9VCWR, 11, 1, 0, 0, 0, 0, 1, 0, 0
T3R5MGWR, 17, 0, 0, 1, 0, 0, 0, 0, 1
UKCLJIWR, 10, 0, 0, 0, 0, 0, 1, 0, 0
QAGVDJWR, 10, 0, 0, 0, 0, 0, 1, 0, 0
U3NE3NWR, 17, 0, 0, 0, 0, 1, 1, 0, 0
1CI5EOWR, 10, 0, 0, 0, 0, 0, 1, 0, 0
HKQ7JSWR, 10, 0, 0, 0, 0, 0, 1, 0, 0
8LJMNTWR, 35, 0, 0, 0, 0, 0, 2, 1, 1
SJAR2UWR, 10, 0, 0, 0, 0, 0, 1, 0, 0
9WS2JXWR, 10, 0, 0, 0, 0, 0, 1, 0, 0
WPH335XR, 10, 0, 0, 0, 0, 0, 1, 0, 0
3AJ8Z5XR, 20, 0, 0, 0, 0, 0, 2, 0, 0
5KYTM6XR, 10, 0, 0, 0, 0, 0, 1, 0, 0
3Y9HT6XR, 20, 0, 0, 1, 0, 0, 1, 0, 0
YXYH67XR, 17, 0, 0, 0, 0, 1, 1, 0, 0
K6MLG9XR, 10, 0, 0, 0, 0, 0, 1, 0, 0
T6Z8O9XR, 10, 0, 0, 0, 0, 0, 1, 0, 0
3MZCVAXR, 10, 0, 0, 0, 0, 0, 1, 0, 0
